Epoch 37/50: 100% 4/4 [00:01<00:00,  2.07it/s]{'epoch': 37, 'train_loss': 0.4940110743045807, 'val_loss': 0.7443158626556396, 'dice': 0.11043495777994394, 'iou': 0.05875042034313083, 'sensitivity': 0.061668497044593096, 'specificity': 0.9948304742574692, 'accuracy': 0.9046297073364258}
Epoch 38/50: 100% 4/4 [00:01<00:00,  2.25it/s]{'epoch': 38, 'train_loss': 0.49266769737005234, 'val_loss': 0.7427093237638474, 'dice': 0.11597585771232843, 'iou': 0.06189630599692464, 'sensitivity': 0.06490813102573156, 'specificity': 0.994980201125145, 'accuracy': 0.9050521850585938}
Epoch 39/50: 100% 4/4 [00:01<00:00,  2.27it/s]{'epoch': 39, 'train_loss': 0.49302390962839127, 'val_loss': 0.7405876219272614, 'dice': 0.12208272144198418, 'iou': 0.06538957823067904, 'sensitivity': 0.06848607026040554, 'specificity': 0.9951678961515427, 'accuracy': 0.9055395126342773}
Epoch 40/50: 100% 4/4 [00:01<00:00,  2.25it/s]{'epoch': 40, 'train_loss': 0.4918806105852127, 'val_loss': 0.7380077540874481, 'dice': 0.13019491359591484, 'iou': 0.07005782891064882, 'sensitivity': 0.07328829355537891, 'specificity': 0.9953052848577499, 'accuracy': 0.9061164855957031}
Epoch 41/50: 100% 4/4 [00:01<00:00,  2.26it/s]{'epoch': 41, 'train_loss': 0.49173836410045624, 'val_loss': 0.7349316775798798, 'dice': 0.1409177128225565, 'iou': 0.07630421221256256, 'sensitivity': 0.07980281580239534, 'specificity': 0.9953508079051971, 'accuracy': 0.9067659378051758}
Epoch 42/50: 100% 4/4 [00:01<00:00,  2.25it/s]{'epoch': 42, 'train_loss': 0.4906528368592262, 'val_loss': 0.7321354150772095, 'dice': 0.148710947483778, 'iou': 0.08088980615139008, 'sensitivity': 0.08447852544486523, 'specificity': 0.995520681142807, 'accuracy': 0.9073572158813477}
Epoch 43/50: 100% 4/4 [00:01<00:00,  2.06it/s]{'epoch': 43, 'train_loss': 0.49049966037273407, 'val_loss': 0.7287996113300323, 'dice': 0.1586756743490696, 'iou': 0.08681027777493, 'sensitivity': 0.09060655441135168, 'specificity': 0.9956128299236298, 'accuracy': 0.9080142974853516}
Epoch 44/50: 100% 4/4 [00:01<00:00,  2.15it/s]{'epoch': 44, 'train_loss': 0.4902356415987015, 'val_loss': 0.7243298590183258, 'dice': 0.17014470137655735, 'iou': 0.09372301865369081, 'sensitivity': 0.09776900708675385, 'specificity': 0.9957054853439331, 'accuracy': 0.9087657928466797}
Epoch 45/50: 100% 4/4 [00:01<00:00,  2.23it/s]{'epoch': 45, 'train_loss': 0.4893476441502571, 'val_loss': 0.7201432436704636, 'dice': 0.18248997628688812, 'iou': 0.1012773085385561, 'sensitivity': 0.10568083450198174, 'specificity': 0.9957174807786942, 'accuracy': 0.9095077514648438}
Epoch 46/50: 100% 4/4 [00:01<00:00,  2.19it/s]{'epoch': 46, 'train_loss': 0.48958563059568405, 'val_loss': 0.7159688472747803, 'dice': 0.1945101823657751, 'iou': 0.1087589655071497, 'sensitivity': 0.11358737852424383, 'specificity': 0.9956651031970978, 'accuracy': 0.9101953506469727}
Epoch 47/50: 100% 4/4 [00:01<00:00,  2.19it/s]{'epoch': 47, 'train_loss': 0.48956069350242615, 'val_loss': 0.7114209085702896, 'dice': 0.2063392847776413, 'iou': 0.11621368117630482, 'sensitivity': 0.12144431937485933, 'specificity': 0.9956464469432831, 'accuracy': 0.9109020233154297}
Epoch 48/50: 100% 4/4 [00:01<00:00,  2.18it/s]{'epoch': 48, 'train_loss': 0.4896809160709381, 'val_loss': 0.7072150856256485, 'dice': 0.2192774061113596, 'iou': 0.12448277045041323, 'sensitivity': 0.13018078822642565, 'specificity': 0.995605543255806, 'accuracy': 0.911677360534668}
Epoch 49/50: 100% 4/4 [00:02<00:00,  1.98it/s]{'epoch': 49, 'train_loss': 0.4893490597605705, 'val_loss': 0.7036852836608887, 'dice': 0.22999877482652664, 'iou': 0.1314400788396597, 'sensitivity': 0.13756885565817356, 'specificity': 0.9955606162548065, 'accuracy': 0.9123096466064453}
Epoch 50/50: 100% 4/4 [00:01<00:00,  2.06it/s]{'epoch': 50, 'train_loss': 0.4902949258685112, 'val_loss': 0.6986389756202698, 'dice': 0.24373307079076767, 'iou': 0.14043669030070305, 'sensitivity': 0.14704280346632004, 'specificity': 0.9955613166093826, 'accuracy': 0.913177490234375}
Saved best checkpoint
